timestamp,open,high,low,close,volume
2023-06-26 04:00:00,121.9800,121.9800,121.6900,121.8200,4760
2023-06-26 04:01:00,121.7800,121.8000,121.5100,121.7600,1540
2023-06-26 04:02:00,121.7500,121.8400,121.7500,121.8400,1048
2023-06-26 04:03:00,121.7700,121.7700,121.5500,121.5500,270
2023-06-26 04:04:00,121.5500,121.5500,121.5000,121.5000,1619
2023-06-26 04:06:00,121.2000,121.4800,121.0200,121.2900,1033
2023-06-26 04:07:00,121.2500,121.2800,121.2200,121.2800,2019
2023-06-26 04:09:00,121.0300,121.0300,121.0300,121.0300,100
2023-06-26 04:11:00,121.0500,121.1800,121.0300,121.1800,965
2023-06-26 04:12:00,121.2200,121.2800,121.0100,121.0100,477
2023-06-26 04:15:00,121.1600,121.2900,121.1600,121.2600,872
2023-06-26 04:16:00,121.2500,121.2500,121.2500,121.2500,200
2023-06-26 04:17:00,121.2200,121.2300,121.2200,121.2300,393
2023-06-26 04:25:00,121.1800,121.1800,121.1100,121.1100,528
2023-06-26 04:27:00,121.1600,121.1600,121.1500,121.1500,936
2023-06-26 04:30:00,121.0500,121.0500,120.9200,121.0100,1032
2023-06-26 04:32:00,121.0100,121.0400,121.0100,121.0400,766
2023-06-26 04:35:00,121.0100,121.0100,121.0100,121.0100,100
2023-06-26 04:37:00,121.0500,121.0500,121.0500,121.0500,100
2023-06-26 04:43:00,121.0700,121.0700,121.0700,121.0700,140
2023-06-26 04:44:00,121.0500,121.0500,121.0500,121.0500,100
2023-06-26 04:47:00,121.0000,121.0000,121.0000,121.0000,900
2023-06-26 05:16:00,121.0600,121.0600,121.0600,121.0600,100
2023-06-26 05:17:00,121.0600,121.0600,121.0600,121.0600,300
2023-06-26 05:21:00,121.0700,121.0700,121.0700,121.0700,100
2023-06-26 05:37:00,121.1300,121.1300,121.1300,121.1300,200
2023-06-26 05:38:00,121.1500,121.1500,121.1500,121.1500,150
2023-06-26 05:41:00,121.1900,121.1900,121.1900,121.1900,100
2023-06-26 05:42:00,121.2500,121.2500,121.2500,121.2500,148
2023-06-26 05:46:00,121.2500,121.2500,121.2100,121.2100,452
2023-06-26 05:52:00,121.2000,121.2000,121.2000,121.2000,100
2023-06-26 05:56:00,121.1400,121.1400,121.1400,121.1400,134
2023-06-26 05:58:00,121.2000,121.2000,121.2000,121.2000,200
2023-06-26 06:04:00,121.0600,121.0600,121.0600,121.0600,100
2023-06-26 06:19:00,121.1700,121.1700,121.1700,121.1700,176
2023-06-26 06:27:00,121.0500,121.0500,121.0500,121.0500,197
2023-06-26 06:35:00,121.0500,121.0500,121.0500,121.0500,321
2023-06-26 07:00:00,121.2000,121.3000,121.1000,121.2000,1265
2023-06-26 07:02:00,121.2000,121.2000,121.2000,121.2000,100
2023-06-26 07:03:00,121.1600,121.1600,121.1000,121.1000,800
2023-06-26 07:05:00,121.2000,121.2700,121.2000,121.2700,761
2023-06-26 07:08:00,121.3000,121.3000,121.2200,121.2200,248
2023-06-26 07:12:00,121.3000,121.3000,121.3000,121.3000,200
2023-06-26 07:13:00,121.3000,121.3000,121.2800,121.2900,600
2023-06-26 07:14:00,121.3000,121.3000,121.2900,121.2900,400
2023-06-26 07:17:00,121.3500,121.3500,121.3500,121.3500,499
2023-06-26 07:25:00,121.3000,121.3000,121.2500,121.2800,670
2023-06-26 07:27:00,121.2700,121.3200,121.2500,121.3200,615
